index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare,economy_fare_usd,business_fare_usd,first_fare_usd
6928,YYZ,ATL,8:00:00,4,2:14:00,10:14:00,4,AC8953,AC,Air Canada,34523,,69013,414.276,,828.156
6929,YYZ,ATL,12:25:00,6,2:14:00,14:39:00,6,AC8955,AC,Air Canada,34523,,40567,414.276,,486.804
6930,YYZ,ATL,16:50:00,4,2:14:00,19:04:00,4,AC8957,AC,Air Canada,34523,,98024,414.276,,1176.288
6931,YYZ,ATL,8:00:00,5,2:14:00,10:14:00,5,AC8953,AC,Air Canada,34523,,40608,414.276,,487.296
6932,YYZ,ATL,19:55:00,5,2:14:00,22:09:00,5,AC8959,AC,Air Canada,34523,,40608,414.276,,487.296
6933,YYZ,ATL,7:25:00,6,2:12:00,9:37:00,6,DL2188,DL,Delta Airlines,34633,37303,,415.596,447.636,
6934,YYZ,ATL,6:15:00,5,2:14:00,8:29:00,5,DL1212,DL,Delta Airlines,34633,37852,,415.596,454.224,
6935,YYZ,ATL,13:19:00,5,2:14:00,15:33:00,5,DL1396,DL,Delta Airlines,34633,37852,,415.596,454.224,
6936,YYZ,ATL,13:19:00,6,2:14:00,15:33:00,6,DL1396,DL,Delta Airlines,34633,,,415.596,,
6937,YYZ,ATL,6:15:00,6,2:14:00,8:29:00,6,DL1212,DL,Delta Airlines,34633,37303,,415.596,447.636,
6938,YYZ,ATL,18:15:00,6,2:22:00,20:37:00,6,DL974,DL,Delta Airlines,34633,36615,,415.596,439.38,
6939,YYZ,ATL,18:15:00,5,2:22:00,20:37:00,5,DL974,DL,Delta Airlines,34633,37852,,415.596,454.224,
6940,YYZ,ATL,7:25:00,4,2:12:00,9:37:00,4,DL2188,DL,Delta Airlines,35007,,,420.084,,
6941,YYZ,ATL,13:19:00,4,2:14:00,15:33:00,4,DL1396,DL,Delta Airlines,35007,,,420.084,,
6942,YYZ,ATL,6:15:00,4,2:14:00,8:29:00,4,DL1212,DL,Delta Airlines,35007,,,420.084,,
6943,YYZ,ATL,18:15:00,4,2:22:00,20:37:00,4,DL974,DL,Delta Airlines,35007,,,420.084,,
6944,YYZ,ATL,8:00:00,6,2:14:00,10:14:00,6,UA8106,UA,United Airlines,36213,,,434.556,,
6945,YYZ,ATL,8:00:00,4,2:14:00,10:14:00,4,UA8106,UA,United Airlines,36213,,,434.556,,
6946,YYZ,ATL,6:15:00,5,2:14:00,8:29:00,5,WS6304,WS,WestJet,36731,,,440.772,,
6947,YYZ,ATL,18:15:00,5,2:22:00,20:37:00,5,WS6347,WS,WestJet,36731,,,440.772,,
6948,YYZ,DXB,14:30:00,2,20:45:00,11:15:00,3,EK242,EK,Emirates,83552,,768183,1002.624,,9218.196
6949,YYZ,DXB,14:30:00,0,20:45:00,11:15:00,1,EK242,EK,Emirates,83552,,350778,1002.624,,4209.336
